Species,Family,Higher_level,Diversity,Size/Weight/Age,Length Type,Min depth,Max depth,Northernmost Lat (north is +),Southernmost Lat,Max abs lat,Min temp,Max temp,Trophic Level,distribution,habitat,burrowing,Activity,Citation,Categories,Counter
Lipophrys_velifer,Blenniidae,,,5.8,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,,"Eastern Atlantic:  off west Africa from Senegal and Cape Verde to the Cunene River, Angola.",demersal; marine,,NA,,,
Parablennius_gattorugine,Blenniidae,,,30,TL male/unsexed,3,32,59,31,59,NA,NA,3.6,"Northeast Atlantic:  Atlantic coast from Ireland to Morocco; also in the Mediterranean Sea and the Sea of Marmora.  This species is present only in mainland Portugal (Ref. 13612).  Although older papers reported this species from the Azores and Madeira, it has been concluded that the occurrences were misidentifications of Parablennius ruber (Ref. 13612).",demersal; non-migratory; marine; depth range 3 - 32 m (Ref. 5981),,NA,,,
Parablennius_incognitus,Blenniidae,,,5.8,SL male/unsexed,0,2,47,2,47,NA,NA,2.7,"Eastern Atlantic and Mediterranean Sea:  Madeira, the Canary Islands and Victoria, Cameroon, off Iberian Peninsula to all parts of the Mediterranean including Morocco, the Sea of Marmara, and Black Sea (Ref. 5981).",demersal; marine; depth range 0 - 2 m (Ref. 5298),,NA,,,
Parablennius_marmoreus,Blenniidae,,,8.5,TL male/unsexed,0,10,41,7,41,NA,NA,2.5,"Western Atlantic:  New York (USA), Bermuda, the Bahamas, and northern Gulf of Mexico to northern South America.",reef-associated; marine; depth range 0 - 10 m (Ref. 9710),,NA,,,
Parablennius_parvicornis,Blenniidae,,,12,SL male/unsexed,0,1,36,-6,36,NA,NA,2,"Atlantic Ocean:  Mauritania to Congo, including the Canary Islands, Cape Verde and Madeira.  Also reported from Morocco and the Azores (Ref. 5981).",demersal; marine; depth range 0 - 1 m (Ref. 5981),,NA,,,
Parablennius_pilicornis,Blenniidae,,,12.7,SL male/unsexed,0,25,44,-56,56,NA,NA,3.2,"Eastern Atlantic:  Spain and Portugal to Mwe Bay, Namibia.  Also in the  Mediterranean along the coast from Morocco, Algeria, Spain.  Southwest Atlantic:  Brazil and Patagonia, Argentina (Ref. 4404).  Western Indian Ocean:  Natal to Knysna in South Africa.",demersal; marine; depth range 0 - 25 m (Ref. 5298),,NA,,,
Parablennius_ruber,Blenniidae,,,14.1,TL male/unsexed,2,20,NA,NA,NA,NA,NA,3,"Eastern Atlantic:  except for old citations, Parablennius ruber is only mentioned as being observed in Portuguese waters (mainland Portugal, Azores, and Madeira).  This is probably due to the recent date of the revalidation of the species.  An analysis of data from other populations that have been considered as Parablennius gattorugine is needed to establish the distribution of Parablennius ruber.","demersal; marine; depth range 2 - 20 m (Ref. 5981), usually 5 - 5 m (Ref. 5981)",,NA,,,
Parablennius_salensis,Blenniidae,,,6,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,2.9,Eastern Central Atlantic:  Cape Verde.,demersal; marine,,NA,,,
Parablennius_sanguinolentus,Blenniidae,,,20,TL male/unsexed,? ,1,50,30,50,NA,NA,2.1,"Eastern Atlantic:  Loire, France to Morocco including the Mediterranean and Black Sea.",demersal; non-migratory; marine; depth range ? - 1 m,,NA,,,
Parablennius_tentacularis,Blenniidae,,,15,TL male/unsexed,3,15,47,9,47,NA,NA,3.3,"Eastern Atlantic:  coast of Portugal, Spain and Morocco south to Guinea.  Also in all parts of the Mediterranean (except Syria, Lebanon, Israel and Egypt), in the Sea of Marmara and the Black Sea, and Canary Islands (Ref. 5981).",demersal; brackish; marine; depth range 3 - 15 m (Ref. 5981),,NA,,,
Parablennius_zvonimiri,Blenniidae,,,7,TL male/unsexed,6,12,47,30,47,NA,NA,2.6,Mediterranean Sea and Black Sea.,demersal; marine; depth range ? - 6 m (Ref. 5981),,NA,,,
Paralipophrys_trigloides,Blenniidae,,,13,TL male/unsexed,NA,NA,49,20,49,NA,NA,4.5,"Eastern Atlantic:  Along the coasts of  France (Brittany), the Iberian Peninsula, Morocco, the Mediterranean and the Sea of Marmara southwards to Senegal, the Canary Islands and Madeira.",demersal; marine,,NA,,,
Salaria_pavo,Blenniidae,,,13,TL male/unsexed,NA,NA,51,20,51,NA,NA,3.6,Eastern Atlantic:  Atlantic coast from France to Morocco; also in the Mediterranean and Black seas and in the Suez Canal.,demersal; brackish; marine,,NA,,,
Salarias_fasciatus,Blenniidae,,,14,TL male/unsexed,0,8,30,-23,30,NA,NA,2,"Indo-Pacific:  Red Sea and East Africa to Samoa, north to the Ryukyu Islands, south to the Great Barrier Reef and New Caledonia.",reef-associated; marine; depth range 0 - 8 m (Ref. 9710),,NA,,,
Scartella_caboverdiana,Blenniidae,,,6,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,2.8,Eastern Central Atlantic:  Cape Verde.,demersal; marine,,NA,,,
Arnoglossus_imperialis,Bothidae,Bothidae,102,25,TL male/unsexed,20,350,58,-29,58,NA,NA,3.8,"Eastern Atlantic:  Scotland to Namibia (Ref. 27121), including the western Mediterranean.","demersal; marine; depth range 20 - 350 m (Ref. 26999), usually 40 - 200 m (Ref. 36731)",,NA,,,
Arnoglossus_laterna,Bothidae,,,25,SL male/unsexed,10,200,62,-17,62,NA,NA,3.6,Eastern Atlantic:  Norway to Angola.  Also known from the Mediterranean and Black Sea.,"demersal; marine; depth range 10 - 200 m (Ref. 4704), usually 10 - 100 m (Ref. 35388)",,NA,,,
Arnoglossus_thori,Bothidae,,,18,SL male/unsexed,15,300,43,6,43,NA,NA,3.3,Eastern Atlantic:  Ireland (Ref. 4704) to Sierra Leone and Cape Verde.  Also known from the western Mediterranean and Black Sea.,demersal; marine; depth range 15 - 300 m (Ref. 5979),,NA,,,
Bothus_lunatus,Bothidae,,,46,TL male/unsexed,0,100,NA,NA,NA,NA,NA,4.5,"Western Atlantic:  Florida (USA), Bermuda, and the Bahamas to Brazil.  Absent in Gulf of Mexico (Ref. 26938).  Eastern Atlantic:  Ascension Island and the Gulf of Guinea (Ref. 5979).","reef-associated; marine; depth range 0 - 100 m (Ref. 5979), usually 0 - 20 m (Ref. 40849)",,NA,,,
Bothus_podas,Bothidae,,,45,TL male/unsexed,15,400,45,-15,45,NA,NA,3.4,"Eastern Atlantic:  Mediterranean and the Adriatic Sea (Ref. 12382); Mauritania to Angola, including Madeira, Cape Verde and the Canary Islands (Ref. 5979).",demersal; marine; depth range 15 - 400 m (Ref. 26999),,NA,,,
Bothus_robinsi,Bothidae,,,25,TL male/unsexed,? ,90,41,-33,41,NA,NA,3.6,"Western Atlantic:  New York, USA and northeastern Gulf of Mexico to Brazil.  There are no records from any Antillean location (Ref. 51183).","demersal; marine; depth range ? - 90 m (Ref. 5217), usually 10 - 50 m (Ref. 5217)",,NA,,,
Crossorhombus_kobensis,Bothidae,,,12,TL male/unsexed,50,275,NA,NA,NA,NA,NA,3.5,"Northwest Pacific:  Japan, Formosa Strait, northern part of the South China Sea.  Possibly occurring in the Western Central Pacific.",demersal; marine; depth range 50 - 275 m (Ref. 9824),,NA,,,
Laeops_kitaharae,Bothidae,,,20,SL male/unsexed,70,300,NA,NA,NA,NA,NA,3.6,Indo-West Pacific:  including East Africa and Japan.,demersal; marine; depth range 70 - 300 m (Ref. 43239),,Deep,,,1
Lophonectes_gallus,Bothidae,,,20,Tl male/unsexed,26,240,NA,NA,NA,NA,NA,3.5,"Western Pacific:  eastern Australia (ranging south to South Australia and Tasmania, Ref. 9563) and New Zealand.",demersal; marine; depth range 26 - 240 m (Ref. 9563),,NA,,,
Cottoperca_gobio,Bovichtidae,,,80,TL male/unsexed,NA,NA,-39,-57,57,NA,NA,4.3,Southeast Pacific and Southwest Atlantic:  Patagonian region of Chile and Argentina.,demersal; marine,,NA,,,
Brama_australis,Bramidae,,,47,SL male/unsexed,15,120,NA,NA,NA,NA,NA,4.2,Southeast Pacific:  Chile.,pelagic-neritic; marine; depth range 15 - 120 m (Ref. 31416),,Deep,,,1
Brama_brama,Bramidae,,,100,TL male/unsexed,0,1000,65,-70,70,12,24,4.1,"Atlantic, Indian and South Pacific (Ref. 47377).  Western Atlantic:  Nova Scotia, Canada and Bermuda (Ref. 7251) to Belize and the Antilles (Ref. 26340).  Eastern Atlantic:  central Norway (Ref. 6697) southward to Algoa Bay, South Africa (Ref. 4388).  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",bathypelagic; oceanodromous (Ref. 51243); marine; depth range 0 - 1000 m (Ref. 4388),,Deep,,,1
Brama_japonica,Bramidae,,,61,TL male/unsexed,271,620,66,,66,9,21,4.4,"Pacific Ocean:  Japan to Bering Sea, and south to Peru.   Reported from the Philippines (Ref. 6956) and Taiwan (Ref. 5193).  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",pelagic-oceanic; oceanodromous (Ref. 51243); marine; depth range 0 - 620 m (Ref. 50610),,Deep,,,1
Brama_orcini,Bramidae,,,42,TL male/unsexed,1,1229,NA,NA,NA,NA,NA,4,Indo-Pacific:  in tropical areas.,benthopelagic; marine; depth range 1 - 1229 m (Ref. 58302),,Deep,,,1
Pterycombus_brama,Bramidae,,,46,TL male/unsexed,25,400,67,-1,67,NA,NA,4.2,"Western Atlantic:  Newfoundland in Canada and northern Gulf of Mexico in USA to Jamaica.  Eastern Atlantic: Norway and south of Cap Lopez, west of Mayumba (Gulf of Guinea) (Ref. 4936); reported from Iceland (Ref. 12462).",pelagic-oceanic; marine; depth range 25 - 400 m (Ref. 35388),,Deep,,,1
Taractes_asper,Bramidae,,,50,SL male/unsexed,1,140,72,-35,72,NA,NA,4.3,"Circumglobal:  In tropical to temperate waters.  Western Pacific:  Japan (Ref. 559).  Eastern Pacific:  Alaska to southern California, USA.  Eastern Atlantic:  Madeira to Iceland and northern Norway (Ref. 6697); Cape Province, South Africa (Ref. 4388).  Western Indian Ocean:  southern Madagascar and Natal, South Africa (Ref. 4388); Maldives (Ref. 30829).  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",pelagic-oceanic; oceanodromous (Ref. 51243); marine; depth range 1 - 140 m (Ref. 58302),,Deep,,,1
Taractichthys_longipinnis,Bramidae,,,100,SL male/unsexed,0,500,47,-68,68,NA,NA,4.5,"Eastern Atlantic:  Iceland and Norway southward to off Pointe Noire, Gulf of Guinea and Namibia; questionably reaching False Bay, South Africa (Ref. 4388).  Absent from the Mediterranean (Ref. 4936).  Western Atlantic:  Nova Scotia, Canada and northern Gulf of Mexico to Puerto Rico (Ref. 7251).  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",pelagic-oceanic; oceanodromous (Ref. 51243); marine,,Deep,,,1
Bregmaceros_cantori,Bregmacerotidae,Bregmacerotidae,14,5.7,SL male/unsexed,450,475,NA,NA,NA,NA,NA,3.1,"Western Atlantic:  Cariaco Trench, Venezuela, Gulf of Mexico to southern Brazil (Ref. 47377).",bathypelagic; marine; depth range 450 - 475 m (Ref. 34847),,Deep,,,1
Brosmophycis_marginata,Bythitidae,Bythitidae,142,46,TL male/unsexed,3,256,59,14,59,NA,NA,3.5,"Eastern Pacific:  Petersburg, southeastern Alaska to Ensenada, northern Baja California, Mexico.","demersal; marine; depth range 3 - 256 m (Ref. 2850), usually 15 - ? m (Ref. 2850)",,NA,,,
Cataetyx_laticeps,Bythitidae,,,65,TL male/unsexed,500,2400,NA,NA,NA,NA,NA,3.8,"Eastern Atlantic:  scattered localities around the British Isles, Azores and France, along the coast of West Africa to the Cape of Good Hope; also recorded from the western Mediterranean.  Reported from Iceland (Ref. 12462).  Reported from the Gulf of Mexico (Ref. 37039).",bathydemersal; marine; depth range 500 - 2400 m (Ref. 34024),,Deep,,,1
Cataetyx_rubrirostris,Bythitidae,,,15.7,TL male/unsexed,300,1000,46,32,46,NA,NA,3.5,"Eastern Pacific:  northern Oregon, USA to Pacific coast of Baja California and the Gulf of California.  Specimens from the Gulf of Panama and Chile either this species or still undescribed.",bathydemersal; marine; depth range 300 - 1000 m (Ref. 34024),,Deep,,,1
Diancistrus_fuscus,Bythitidae,,,7,SL male/unsexed,0,20,NA,NA,NA,NA,NA,3.2,"Western Pacific:  Japan (Ryukyu Is.), Taiwan to northern Philippines, southwards to about 10N.  Further south, across the equator, iti is replaced by Diancistrus alleni.",reef-associated; marine,,NA,,,
Callanthias_ruber,Callanthiidae,Callanthiidae,14,60,TL male/unsexed,50,500,51,16,51,NA,NA,3.8,"Eastern Atlantic:  English Channel (occasional) to Mauritania including Madeira, Azores, Canary Islands.  Also throughout the Mediterranean.",demersal; marine; depth range 50 - 500 m (Ref. 5506),,NA,,,
Callionymus_bairdi,Callionymidae,Callionymidae,171,11.4,TL male/unsexed,1,91,32,,32,NA,NA,3.3,"Western Atlantic:  Canada (Ref. 5951) to Bermuda, southern Florida (USA), and the Bahamas to northern South America.",reef-associated; oceanodromous (Ref. 51243); marine; depth range 1 - 91 m (Ref. 7251),,Deep,,,1
Callionymus_lyra,Callionymidae,,,30,TL male/unsexed,5,430,65,16,65,16,20,3.3,"Eastern Atlantic:  southern Iceland and Norway south to Mauritania, including the northern Mediterranean, Gibraltar, and Algeria, western Black Sea, Aegean and Adriatic Sea, Azores and the Canary Islands.","demersal; marine; depth range 5 - 430 m (Ref. 5968), usually 5 - 30 m (Ref. 27115)",,Deep,,,1
Callionymus_maculatus,Callionymidae,,,16,TL male/unsexed,45,650,65,12,65,NA,NA,3.3,"Eastern Atlantic:  southern and western Iceland and Norway south to Senegal.  Also in the Mediterranean, including the Adriatic and Aegean but not in the Black Sea.",demersal; marine; depth range 45 - 650 m (Ref. 5968),,NA,,,
Callionymus_schaapii,Callionymidae,,,6.5,TL male/unsexed,? ,8,NA,NA,NA,NA,NA,3.2,Eastern Indian Ocean and Western Central Pacific.,demersal; brackish; marine; depth range ? - 8 m (Ref. 48636),,NA,,,
Synchiropus_ocellatus,Callionymidae,,,8.9,TL male/unsexed,1,30,30,-15,30,24,26,3.2,Pacific Ocean:  southern Japan to the Marquesan Islands.,"reef-associated; marine; depth range 1 - 30 m (Ref. 9710), usually 1 - 30 m (Ref. 27115)",,Deep,,,1
Antigonia_capros,Caproidae,,,30.5,TL male/unsexed,50,900,44,-24,44,NA,NA,4.1,"Worldwide in subtropical and tropical oceans.  Eastern Atlantic:  France to Namibia, including Azores and Madeira.  Western Atlantic:  southern New England, USA and Gulf of Mexico to [Brazil according to Ref. 7251] Uruguay (Ref. 47377).  Pacific Ocean:  Hawaii (Ref. 7490), Japan (Ref. 559) and Nazca and Sala-y-Gomez (Ref. 50546).","demersal; marine; depth range 50 - 900 m (Ref. 5217), usually 100 - 300 m (Ref. 4952)",,Deep,,,1
Alectis_alexandrinus,Carangidae,,,100,TL male/unsexed,? ,70,42,-13,42,NA,NA,3.6,"Eastern Atlantic:  off Morocco to Angola, including southern parts of the Mediterranean.",pelagic-neritic; marine; depth range ? - 70 m (Ref. 2683),no,NA,,,
Alepes_djedaba,Carangidae,,,40,TL male/unsexed,NA,NA,46,-37,46,NA,NA,3.3,"Indo-Pacific:  Red Sea and East Africa (Ref. 12484) to the Hawaiian Islands, north to Japan, south to Australia.  Immigrant to the eastern Mediterranean through the Suez Canal.",reef-associated; amphidromous (Ref. 51243); marine,no,NA,,,
Alepes_kleinii,Carangidae,,,16,FL male/unsexed,NA,NA,31,-26,31,NA,NA,3.5,"Indo-West Pacific:  coastal waters from Pakistan to Sri Lanka; east coast of India, Taiwan Island, Okinawa in Japan, the Philippines, Papua New Guinea and Australia.  Records from South Africa, as Caranx kalla, are based on misidentifications of Alepes djedaba.",reef-associated; marine,no,NA,,,
Atropus_atropos,Carangidae,,,26.5,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.6,"Indo-West Pacific:  in the tropical waters, north to Mie Prefecture, Japan.",pelagic-neritic; amphidromous (Ref. 51243); marine,no,NA,,,
Atule_mate,Carangidae,,,30,TL male/unsexed,1,80,35,-35,35,NA,NA,4.2,"Indo-Pacific:  Red Sea and the east coast of Africa to the Hawaiian Islands and Samoa, north to Japan (Ref. 559), south to the Arafura Sea (Ref. 9819) and northern Australia.",reef-associated; brackish; marine; depth range 1 - 80 m (Ref. 58302),no,NA,,,
Carangoides_otrynter,Carangidae,,,60,TL male/unsexed,60,100,23,-1,23,NA,NA,4.4,"Eastern Pacific:  southern Baja California, Mexico to Ecuador and the Galapagos Islands.",benthopelagic; oceanodromous (Ref. 51243); marine; depth range 60 - 100 m (Ref. 37955),no,NA,,,
Carangoides_ruber,Carangidae,,,59,FL male/unsexed,0,35,35,33,35,NA,NA,4.3,"Western Atlantic:  New Jersey (USA), Bermuda, and Gulf of Mexico to  southern Brazil; throughout the Caribbean Sea (Ref. 9626).  Most common in the West Indies (Ref. 26938).","reef-associated; oceanodromous (Ref. 51243); marine; depth range 0 - 35 m (Ref. 40849), usually 0 - 22 m (Ref. 9710)",no,NA,,,
Caranx_caballus,Carangidae,,,55,FL male/unsexed,3,100,34,,34,NA,NA,4.1,"Eastern Pacific:  Santa Cruz Island, California, USA to Peru, including the Gulf of California and the Galapagos Islands.",pelagic-neritic; brackish; marine; depth range 3 - 100 m (Ref. 9283),no,NA,,,
Caranx_caninus,Carangidae,,,101,FL male/unsexed,? ,350,33,,33,NA,NA,3.9,"Eastern Pacific:  San Diego, California, USA to Peru, including the Gulf of California and the Galapagos Islands.  Probably the same species as Caranx hippos in the Atlantic.",pelagic-oceanic; oceanodromous (Ref. 51243); brackish; marine; depth range ? - 350 m (Ref. 9283),no,NA,,,
Caranx_latus,Carangidae,,,101,FL male/unsexed,0,140,41,-23,41,NA,NA,4.2,"Western Atlantic:  New Jersey (USA), Bermuda, and northern Gulf of Mexico to So Paulo, Brazil (Ref. 57756).  Eastern Atlantic:  St. Paul""quot;s Rocks (Ref. 13121), Ascension Island, and two confirmed records from the Gulf of Guinea (Ref. 7097).","reef-associated; oceano-estuarine (Ref. 4233); freshwater; brackish; marine; depth range 0 - 140 m (Ref. 36484), usually 0 - 20 m (Ref. 40849)",no,NA,,,
Caranx_rhonchus,Carangidae,,,60,TL male/unsexed,30,200,39,-22,39,15,22,3.6,"Eastern Atlantic:  Morocco to Angola, including the Mediterranean along the African coast.  Range reported to extend south to Namibia (Ref. 27121).","benthopelagic; brackish; marine; depth range 30 - 200 m (Ref. 27584), usually 30 - 50 m (Ref. 26999)",no,NA,,,
Caranx_vinctus,Carangidae,,,37,TL male/unsexed,? ,50,30,,30,NA,NA,3.7,"Eastern Central Pacific:  western coast of Baja California, Mexico to Peru (Ref. 11482).",pelagic-oceanic; oceanodromous (Ref. 51243); marine; depth range ? - 50 m (Ref. 37955),no,NA,,,
Chloroscombrus_chrysurus,Carangidae,,,65,TL male/unsexed,? ,55,43,-13,43,NA,NA,3.5,"Western Atlantic:  Massachusetts to Florida, USA and Bermuda to Uruguay; throughout Caribbean Sea and Gulf of Mexico (Ref. 9626); Bahamas, Antilles, along Central and South American coasts to Uruguay (Ref. 26938).  Eastern Atlantic:  Mauritania to Angola.  Replaced by Chloroscombrus orqueta in eastern Pacific.  These two species have not been adequately studied and may prove to be conspecific.",pelagic-neritic; brackish; marine; depth range ? - 55 m (Ref. 26912),no,NA,,,
Chloroscombrus_orqueta,Carangidae,,,30,TL male/unsexed,NA,NA,33,-18,33,NA,NA,2.5,"Eastern Pacific:  San Pedro, southern California, USA to Peru, including the Gulf of California.",benthopelagic; brackish; marine,no,NA,,,
Decapterus_akaadsi,Carangidae,,,30,SL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.4,Western Pacific:  southern Japan to the South China Sea.,pelagic-oceanic; marine,no,NA,,,
Decapterus_muroadsi,Carangidae,,,50,FL male/unsexed,1,320,NA,NA,NA,NA,NA,3.4,"Eastern Atlantic:  St. Helena Island.  Remnant populations in Indo-West Pacific from Japan, Australia, and Hawaii.  St Helena specimens differ from the Pacific specimens in having slightly fewer gill rakers, and pending additional study perhaps should be recognized as a separate subspecies (Ref. 7097).  Eastern Central Pacific:  Mexico (including the Revillagigedo Islands) and the Galapagos Islands (Ref. 9283).",pelagic-oceanic; marine; depth range 1 - 320 m (Ref. 58302),no,NA,,,
Hemicaranx_leucurus,Carangidae,,,30,TL male/unsexed,NA,NA,24,-2,24,NA,NA,3.7,"Eastern Pacific:  southern tip of Baja California, Mexico and southern Gulf of California to Ecuador.",benthopelagic; brackish; marine,no,NA,,,
Hemicaranx_zelotes,Carangidae,,,35,TL male/unsexed,NA,NA,33,-20,33,NA,NA,3.7,"Eastern Central Pacific:  Baja California, Mexico to Peru (Ref. 5530).",benthopelagic; brackish; marine,no,NA,,,
Lichia_amia,Carangidae,,,200,TL male/unsexed,0,50,47,-28,47,NA,NA,4.5,"Eastern Atlantic:  southern Bay of Biscay to South Africa, including the Mediterranean.  Western Indian Ocean:  South Africa to Delagoa Bay, Loureno Marques.",pelagic-neritic; oceanodromous (Ref. 51243); brackish; marine; depth range 0 - 50 m (Ref. 3197),no,NA,,,
Oligoplites_altus,Carangidae,Oligoplites,6,56,FL male/unsexed,NA,NA,32,,32,NA,NA,4.1,Eastern Pacific:  Mexico to Peru.,benthopelagic; brackish; marine,no,NA,,,
Oligoplites_saurus,Carangidae,,,35,TL male/unsexed,? ,50,45,-35,45,NA,NA,4.3,"Western Atlantic:  Maine, USA  and northern Gulf of Mexico to Uruguay; throughout most of the West Indies (Ref. 3277).  Absent from the Bahamas (Ref. 26938).  Eastern Pacific:  Baja California, Mexico to Ecuador (Ref. 9283).  Two subspecies exists (Ref. 3277):  Oligoplites saurus saurus (western Atlantic population) and Oligoplites saurus inornatus (eastern Pacific population).",reef-associated; brackish; marine,no,NA,,,
Parastromateus_niger,Carangidae,,,75,TL male/unsexed,15,105,42,-30,42,NA,NA,2.9,Indo-West Pacific:  East Africa to southern Japan and Australia.,"reef-associated; amphidromous (Ref. 51243); brackish; marine; depth range 15 - 105 m (Ref. 12260), usually 15 - 40 m (Ref. 54702)",no,NA,,,
Pseudocaranx_chilensis,Carangidae,,,65,TL male/unsexed,NA,NA,-25,-35,35,NA,NA,3.6,Southeast Pacific:  San Flix Island and the Juan Fernndez Islands.,demersal; marine,no,NA,,,
Pseudocaranx_wrighti,Carangidae,,,70,SL male/unsexed,? ,30,NA,NA,NA,NA,NA,3.4,"Eastern Indian Ocean:  southern Australia, from Western Australia to New South Wales.",pelagic-neritic; brackish; marine; depth range ? - 30 m (Ref. 33616),no,NA,,,
Selene_brevoortii,Carangidae,,,38,FL male/unsexed,NA,NA,27,-18,27,NA,NA,3.8,"Eastern Pacific:  southern tip of Baja California, Mexico to Ecuador.",benthopelagic; marine,no,NA,,,
Selene_brownii,Carangidae,,,29,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.8,"Western Atlantic:  continental shelf from Mexico to Colombia and Brazil, and from Cuba to Guadeloupe.",demersal; marine,no,NA,,,
Selene_orstedii,Carangidae,,,33,TL male/unsexed,NA,NA,24,4,24,NA,NA,3.3,"Eastern Pacific:  Baja California, Mexico to Colombia.",benthopelagic; marine,no,NA,,,
Selene_peruviana,Carangidae,,,40,TL male/unsexed,? ,50,NA,NA,NA,NA,NA,4.3,"Eastern Pacific:  Redondo Beach in southern California, USA to Peru; rare north of Baja California, Mexico.",benthopelagic; marine; depth range ? - 50 m (Ref. 9283),no,NA,,,
Selene_setapinnis,Carangidae,,,60,TL male/unsexed,? ,55,46,-45,46,NA,NA,3.7,"Western Atlantic:  Nova Scotia, Canada through most of the West Indies; along coasts of Gulf of Mexico and South America (Ref. 26938) to Mar del Plata, Argentina.  Absent from the Bahamas (Ref. 26938).  Replaced by Selene dorsalis in the eastern Atlantic.  These two species have not been adequately studied and may prove to be conspecific.  Known to occur in Mauritania (Ref. 5377).",benthopelagic; brackish; marine; depth range ? - 55 m (Ref. 26912),no,NA,,,
Selene_vomer,Carangidae,,,48.3,TL male/unsexed,1,53,46,-45,46,NA,NA,4.3,"Western Atlantic:  Canada (Ref. 5951) to Maine to Florida, USA (possibly from Nova Scotia, Canada), along coasts of central and south America (Ref. 26938) to Uruguay, including Bermuda and Gulf of Mexico (Ref. 9626).  Rare in Greater Antilles (Ref. 26938).",demersal; brackish; marine; depth range 1 - 53 m (Ref. 9710),no,NA,,,
Seriola_carpenteri,Carangidae,,,72.5,TL male/unsexed,0,200,NA,NA,NA,18,27,4.5,"Eastern Atlantic:  Bay of Biscay and Agadir, Morocco to Angola, including Cape Verde (Ref. 4233).  Migrants were caught around Lampedusa Island (Mediterranean Sea) (Ref. 38310).",benthopelagic; marine; depth range 0 - 200 m (Ref. 26999),no,NA,,,
Seriola_fasciata,Carangidae,,,67.5,FL male/unsexed,55,130,NA,NA,NA,NA,NA,4.5,"Western Atlantic:  Massachusetts, USA to Brazil.  Eastern Atlantic:  Madeira (Ref. 7097); eastern Atlantic distribution is uncertain due to past confusion with Seriola carpenteri.",benthopelagic; marine; depth range 55 - 130 m (Ref. 9626),no,NA,,,
Seriola_lalandi,Carangidae,,,250,TL male/unsexed,3,825,55,-57,57,18,24,4.2,"Circumglobal, in subtropical waters, and with a series of disjunct poplulations.  Indo-Pacific:  South Africa, Walter Shoals, Amsterdam Island, Japan, Australia, New Zealand, New Caledonia, Hawaii, Rapa, Pitcairn Island, and Easter Island.  Eastern Pacific:  British Columbia, Canada to Chile (Ref. 2850).  Eastern Atlantic:  St. Helena, South Africa (Ref. 7097).",benthopelagic; brackish; marine; depth range 3 - 825 m (Ref. 4517),no,NA,,,
Seriola_quinqueradiata,Carangidae,,,150,TL male/unsexed,100, ? ,32,20,32,NA,NA,4,Northwest Pacific:  Japan and the eastern Korean Peninsula to the Hawaiian Islands.,demersal; oceanodromous (Ref. 51243); marine; depth range 100 - ? m,no,NA,,,
Seriola_rivoliana,Carangidae,,,160,FL male/unsexed,5,245,43,-38,43,NA,NA,4.5,"Circumglobal.  Indo-West Pacific:  Kenya south to South Africa (Ref. 3287) and east to Mariana and Wake islands in Micronesia, north to the Ryukyu Islands, south to New Caledonia and the Kermadec Islands (Ref. 8879).  Absent from the Red Sea and French Polynesia.  Likely at Seychelles (Ref. 1623).  Eastern Pacific:  USA to Peru, including Galapagos Islands (Ref. 2850).  Western Atlantic:  Cape Cod, USA to northern Argentina (Ref. 9626).  Distribution in the eastern Atlantic is not well established.  Recently recorded from Lampedusa Island in the Mediterranean (Ref. 47878).","reef-associated; marine; depth range 5 - 160 m (Ref. 9710), usually 5 - 35 m (Ref. 40849)",no,NA,,,
Seriola_zonata,Carangidae,,,75,TL male/unsexed,NA,NA,46,-23,46,NA,NA,4.5,"Western Atlantic:  Nova Scotia, Canada to Santos, Brazil, including the Gulf of Mexico and the Caribbean Sea (Ref. 9626); absent from Bahamas and most islands.",benthopelagic; marine,no,NA,,,
Seriolina_nigrofasciata,Carangidae,,,70,TL male/unsexed,20,150,40,-40,40,NA,NA,4.2,Indo-West Pacific:  Red Sea and East Africa to Japan and Australia.  Southeast Atlantic:  southeast coast of South Africa (Ref. 3197).,reef-associated; brackish; marine; depth range 20 - 150 m (Ref. 30573),no,NA,,,
Trachinotus_carolinus,Carangidae,,,64,TL male/unsexed,? ,70,43,-9,43,NA,NA,3.5,"Western Atlantic:  Massachusetts, USA through the Gulf of Mexico and scattered localities in the West Indies (Ref. 26938) to Brazil.  Absent from clear waters of Bahamas and similar islands (Ref. 7251).",benthopelagic; oceanodromous (Ref. 51243); brackish; marine; depth range ? - 70 m (Ref. 9626),no,NA,,,
Trachinotus_goodei,Carangidae,,,50,TL male/unsexed,0,12,43,-37,43,NA,NA,4.3,"Western Atlantic:  Massachusetts (USA), Bermuda, and the Gulf of Mexico to Argentina.",reef-associated; marine; depth range 0 - 12 m (Ref. 9710),no,NA,,,
